,revenue,income,profit
2016_Q1,12649367000000,633622000000,944584000000
2016_Q2,14449981000000,770886000000,825686000000
2016_Q3,12698855000000,524748000000,664368000000
2016_Q4,12914703000000,532224000000,320002000000
2016_E,52712906000000,2461480000000,2754640000000
2017_Q1,12843896000000,382775000000,765378000000
2017_Q2,13578443000000,404047000000,389598000000
2017_Q3,14107692000000,-427023000000,-291767000000
2017_Q4,13005649000000,302427000000,104809000000
2017_E,53535680000000,662226000000,968018000000
2018_Q1,12562201000000,305634000000,431958000000
2018_Q2,14060127000000,352546000000,331897000000
2018_Q3,14074306000000,117282000000,297741000000
2018_Q4,13473179000000,382013000000,94347000000
2018_E,54169813000000,1157475000000,1155943000000
2019_Q1,12444350000000,594079000000,649104000000
2019_Q2,14506654000000,533619000000,505394000000
2019_Q3,15089541000000,291465000000,325804000000
2019_Q4,16105414000000,590517000000,346357000000
2019_E,58145959000000,2009680000000,1826659000000
2020_Q1,14566900000000,444456000000,265969000000
2020_Q2,11368841000000,145164000000,126309000000
2020_Q3,16321783000000,195232000000,133683000000
2020_Q4,16910572000000,1281605000000,961624000000
2020_E,59168096000000,2066457000000,1487585000000
2021_Q1,16581735000000,1076389000000,1035035000000
2021_Q2,18339491000000,1487169000000,1342909000000
2021_Q3,17752762000000,1327005000000,1134661000000
2021_Q4,17188378000000,1175122000000,1247706000000
2021_E,69862366000000,5065685000000,4760311000000
2022_Q1,18357236000000,1606480000000,1032582000000
2022_Q2,21875984000000,2234063000000,1880967000000
2022_Q3,23161648000000,768232000000,458895000000
