,revenue,income,profit
2016_Q1,4287904000000,207176000000,86936000000
2016_Q2,4686557000000,268399000000,167777000000
2016_Q3,4464114000000,275120000000,135606000000
2016_Q4,5386440000000,408264000000,341394000000
2016_E,18825015000000,1158959000000,731713000000
2017_Q1,4129693000000,228632000000,43905000000
2017_Q2,4208054000000,266393000000,204667000000
2017_Q3,4243113000000,281051000000,111121000000
2017_Q4,4306230000000,210029000000,11871000000
2017_E,16887090000000,986105000000,371564000000
2018_Q1,3538167000000,218470000000,140151000000
2018_Q2,4240094000000,220887000000,201650000000
2018_Q3,4486329000000,237919000000,126650000000
2018_Q4,4466304000000,162713000000,66852000000
2018_E,16730894000000,839989000000,535303000000
2019_Q1,3877659000000,205203000000,155986000000
2019_Q2,4681888000000,245090000000,192196000000
2019_Q3,4087761000000,239162000000,218232000000
2019_Q4,4631484000000,170212000000,6917000000
2019_E,17278792000000,859667000000,573331000000
2020_Q1,4058864000000,165347000000,196540000000
2020_Q2,4544150000000,153858000000,69427000000
2020_Q3,4042483000000,139846000000,83842000000
2020_Q4,4325362000000,89921000000,-122112000000
2020_E,16970859000000,548972000000,227697000000
2021_Q1,4149570000000,200899000000,194434000000
2021_Q2,4383532000000,140968000000,84934000000
2021_Q3,4351948000000,220363000000,148375000000
2021_Q4,5180484000000,191274000000,126634000000
2021_E,18065534000000,753504000000,554377000000
2022_Q1,4145303000000,171481000000,183108000000
2022_Q2,5579448000000,175408000000,224944000000
2022_Q3,5430844000000,153706000000,234798000000
