,revenue,income,profit
2016_Q1,2866960728487,323257258172,-174900547508
2016_Q2,2817708930618,159211742560,-250834163843
2016_Q3,3117941920848,459997522186,510824479020
2016_Q4,2929241008676,178342647606,-641934198256
2016_E,11731852588629,1120809170524,-556844430587
2017_Q1,2866004571486,191511596700,559173503063
2017_Q2,2905224888439,172810807826,-200325760108
2017_Q3,3213921437684,355488320381,61634378869
2017_Q4,3107060599894,219971524678,381414902991
2017_E,12092211497503,939782249585,801897024815
2018_Q1,3102002341014,166341112041,-10035676721
2018_Q2,3105748499293,66696989238,-304704435565
2018_Q3,3517865068579,401829854076,257250596724
2018_Q4,3286029315103,-10948658072,-141159562591
2018_E,13011645223989,623919297283,-198649078153
2019_Q1,3138921624408,140582624511,-61829350880
2019_Q2,3121010165328,-98636285059,-396298893446
2019_Q3,3382867120356,96413680878,-251347140041
2019_Q4,3040608354474,119113658234,86713882181
2019_E,12683407264566,257473678564,-622761502186
2020_Q1,2427305481809,-82792331433,-736857769085
2020_Q2,1728443994764,110177114791,117369529491
2020_Q3,1595288353584,-31429616047,-32350037453
2020_Q4,1855186248454,112962951399,421819642082
2020_E,7606224078611,108918118710,-230018634965
2021_Q1,1792478199473,101584596161,-56079164283
2021_Q2,2012577569057,193552529446,116822275843
2021_Q3,2303513811129,420165572785,106271580628
2021_Q4,2908255060642,702665934434,411767341044
2021_E,9016824640301,1417968632826,578782033232
2022_Q1,2884257098465,773092247067,531064732872
2022_Q2,3421420220359,740303521923,449311963096
2022_Q3,3910761735906,800703850230,374257659309
