,revenue,income,profit
2016_Q1,2352364000000,329238000000,292245000000
2016_Q2,2681578000000,417692000000,354816000000
2016_Q3,2673243000000,327570000000,270242000000
2016_Q4,3018189000000,270192000000,173955000000
2016_E,10725374000000,1344692000000,1091258000000
2017_Q1,2642802000000,606311000000,753458000000
2017_Q2,2898638000000,567877000000,542190000000
2017_Q3,3002966000000,577473000000,834970000000
2017_Q4,3296652000000,434159000000,304941000000
2017_E,11841058000000,2185820000000,2435559000000
2018_Q1,2850088000000,614568000000,556036000000
2018_Q2,2960331000000,523976000000,474763000000
2018_Q3,2967294000000,527301000000,460589000000
2018_Q4,3167077000000,297958000000,391509000000
2018_E,11944790000000,1963803000000,1882897000000
2019_Q1,1627265000000,463239000000,452527000000
2019_Q2,1619631000000,271106000000,521047000000
2019_Q3,1675344000000,355393000000,340876000000
2019_Q4,1653099000000,-65640000000,-207695000000
2019_E,6575339000000,1024098000000,1106755000000
2020_Q1,1585377000000,607742000000,592082000000
2020_Q2,1494993000000,359256000000,131211000000
2020_Q3,1956078000000,767107000000,761689000000
2020_Q4,1595689000000,-31867000000,55676000000
2020_E,6632137000000,1702238000000,1540658000000
2021_Q1,2180459000000,1000858000000,1057393000000
2021_Q2,1923498000000,611709000000,1001079000000
2021_Q3,2026850000000,612538000000,566564000000
2021_Q4,728203000000,234999000000,58938000000
2021_E,6859010000000,2460104000000,2683974000000
2022_Q1,1785501000000,828279000000,1344998000000
2022_Q2,1738145000000,500489000000,477966000000
2022_Q3,1745461000000,509248000000,455829000000
