,revenue,income,profit
2016_Q1,278016825319,12272285294,3035835916
2016_Q2,271211040743,18713640634,1162924306
2016_Q3,281785024556,23233286597,18277278445
2016_Q4,286691771457,31122885665,22052734153
2016_E,1117704662075,85342098190,44528772820
2017_Q1,285872893116,30542868074,22980648908
2017_Q2,294070084734,27008016681,17602969987
2017_Q3,307245292218,26046876549,30345923426
2017_Q4,309970590501,20362980551,33030021119
2017_E,1197158860569,103960741855,103959563440
2018_Q1,336918445877,23068843448,31489953456
2018_Q2,334585712839,20923547626,32091853668
2018_Q3,346179737647,33069001241,37214106636
2018_Q4,365909640725,29238035964,31956130217
2018_E,1383593537088,106299428279,132752043977
2019_Q1,355326970469,21919839126,32906557071
2019_Q2,369838113551,16730981713,23350511278
2019_Q3,371735075255,27965349098,29991147087
2019_Q4,386868852639,23238780219,14915185966
2019_E,1483769011914,89854950156,101163401402
2020_Q1,387519526259,15959834678,14234541083
2020_Q2,340180890271,4075320659,-7155609627
2020_Q3,388652698332,19380619218,6852279605
2020_Q4,449882598233,20853885197,15816298093
2020_E,1566235713095,60269659752,29747509154
2021_Q1,467239503234,34133169166,39774944707
2021_Q2,479995536404,35610218741,33894375187
2021_Q3,504959126253,31471758561,40879844801
2021_Q4,537348015971,20460746114,19212534148
2021_E,1989542181862,121675892582,133761698843
2022_Q1,664569703004,25543365609,35995680188
2022_Q2,803218906477,55219604632,46429387839
2022_Q3,1053325465801,81802263192,65629793719
