,revenue,income,profit
2016_Q1,3743813297163,269186393919,158575020731
2016_Q2,4225743414371,432169045895,254563808689
2016_Q3,4063401127934,356248870895,300665840913
2016_Q4,4658554064110,387397770845,120173850230
2016_E,16691511903578,1445002081554,833978520563
2017_Q1,4574116836238,349675534522,341108849164
2017_Q2,4692492651761,350870670531,138410696989
2017_Q3,4820243293339,339628855707,179642805996
2017_Q4,5079111067034,327375358959,68377790904
2017_E,19165963848372,1367550419719,727540143053
2018_Q1,4786068719872,293522913527,176977393555
2018_Q2,5447665309825,375632795204,189955674976
2018_Q3,5234128791765,102062551733,-38106412360
2018_Q4,5312518728839,254871114180,79132779031
2018_E,20780381550301,1026089374644,407959435202
2019_Q1,5071535235030,212430556518,114047818810
2019_Q2,5571933777502,232623177297,51068145958
2019_Q3,5047285719643,34105683586,-65755720620
2019_Q4,4821835699781,-147861911119,-73746946001
2019_E,20512590431956,331297506282,25613298147
2020_Q1,4667990000940,-29702244792,-115440335700
2020_Q2,4113255136045,13966327073,-12937556608
2020_Q3,4461583906594,33376498304,-44697198380
2020_Q4,4780569306051,55391857306,-267044659115
2020_E,18023398349630,73032437891,-440119749803
2021_Q1,4927378195560,303901447548,219874610882
2021_Q2,5621869073014,545296691621,352518617860
2021_Q3,5860181098823,826221841407,595911936847
2021_Q4,6440492610460,772083032558,336849402619
2021_E,22849920977857,2447503013134,1505154568208
2022_Q1,6979687424806,697370371747,488121054212
2022_Q2,7381002219917,822139036675,566605408022
2022_Q3,6999938854120,372969564850,263808774499
