,revenue,income,profit
2016_Q1,22350624000000,1342391000000,1768131000000
2016_Q2,24676726000000,1761839000000,1763922000000
2016_Q3,22083670000000,1068104000000,1118764000000
2016_Q4,24538004000000,1021166000000,1068836000000
2016_E,93649024000000,5193500000000,5719653000000
2017_Q1,23365959000000,1250761000000,1405694000000
2017_Q2,24308002000000,1344470000000,913626000000
2017_Q3,24201273000000,1204207000000,939182000000
2017_Q4,24500845000000,775229000000,1287898000000
2017_E,96376079000000,4574667000000,4546400000000
2018_Q1,22436561000000,681291000000,731635000000
2018_Q2,24711802000000,950817000000,810727000000
