,revenue,income,profit
2016_Q1,12461198605137,659766405755,338365936776
2016_Q2,12857383800773,678513646079,220539594981
2016_Q3,12747559705198,1034294951676,475536770856
2016_Q4,15017370815290,471749575759,13726357238
2016_E,53083512926398,2844324579269,1048168659851
2017_Q1,15077183705856,1364968772207,976887688498
2017_Q2,14944404025635,979108778599,530050472226
2017_Q3,15036117731154,1125691625429,906623046112
2017_Q4,15597394154127,1152064477143,559907953923
2017_E,60655099616772,4621833653378,2973469160759
2018_Q1,15862283699009,1487704119863,1083541990115
2018_Q2,16083295652841,1252288154757,580337913709
2018_Q3,16410726456611,1531102780539,1057659004194
2018_Q4,16621471625733,1271504622095,-829474501739
2018_E,64977777434194,5542599677254,1892064406279
2019_Q1,16014237718232,1202896255102,778445184637
2019_Q2,16321334900123,1068562409240,681418248755
2019_Q3,15988226550851,1039777076394,496810449459
2019_Q4,16043048638753,557618817814,25963325662
2019_E,64366847807959,3868854558550,1982637208513
2020_Q1,14545812808227,705250568115,434658224563
2020_Q2,13721554433650,167716289156,104867945003
2020_Q3,14261217575248,666708266421,514045755237
2020_Q4,15264210915695,863360069216,734580494437
2020_E,57792795732820,2403035192908,1788152419240
2021_Q1,16068722906869,1552441317171,1138778824349
2021_Q2,18292466348591,2200589141743,1807172023399
2021_Q3,20636882442644,3116722504973,2627618839657
2021_Q4,21334273351909,2368336268990,1622320276203
2021_E,76332345050013,9238089232877,7195889963608
