,revenue,income,profit
2016_Q1,49782252000000,6675812000000,5252803000000
2016_Q2,50937120000000,8143950000000,5847393000000
2016_Q3,47815633000000,5200089000000,4537855000000
2016_Q4,53331740000000,9220821000000,7088041000000
2016_E,201866745000000,29240672000000,22726092000000
2017_Q1,50547526000000,9898361000000,7684354000000
2017_Q2,61000537000000,14066547000000,11053851000000
2017_Q3,62048901000000,14533159000000,11193411000000
2017_Q4,65978412000000,15146971000000,12255131000000
2017_E,239575376000000,53645038000000,42186747000000
2018_Q1,60563714000000,15642170000000,11688544000000
2018_Q2,58482658000000,14869035000000,11043412000000
2018_Q3,65459993000000,17574865000000,13150715000000
2018_Q4,59265050000000,10800599000000,8462186000000
2018_E,243771415000000,58886669000000,44344857000000
2019_Q1,52385546000000,6233282000000,5043585000000
2019_Q2,56127104000000,6597065000000,5180576000000
2019_Q3,62003471000000,7777892000000,6287664000000
2019_Q4,59884760000000,7160270000000,5227040000000
2019_E,230400881000000,27768509000000,21738865000000
2020_Q1,55325178000000,6447345000000,4884926000000
2020_Q2,52966142000000,8146292000000,5555083000000
2020_Q3,66964160000000,12353238000000,9360693000000
2020_Q4,61551508000000,9047001000000,6607130000000
2020_E,236806988000000,35993876000000,26407832000000
2021_Q1,65388503000000,9382868000000,7141685000000
2021_Q2,63671585000000,12566745000000,9634486000000
2021_Q3,73979187000000,15817531000000,12293331000000
2021_Q4,76565524000000,13866712000000,10837948000000
2021_E,279604799000000,51633856000000,39907450000000
2022_Q1,77781498000000,14121409000000,11324628000000
2022_Q2,77203607000000,14097045000000,11098805000000
2022_Q3,76781680000000,10852045000000,9389198000000
