,revenue,income,profit
2016_Q1,1290705975689,-703758326315,-717233567701
2016_Q2,1317241427588,-54165426887,955810825452
2016_Q3,1289989982137,-110389148238,-35166313566
2016_Q4,1302885124799,-58019732552,7700246027
2016_E,5200822510213,-926332633992,211111190212
2017_Q1,1304779107036,-67324560137,81653755730
2017_Q2,1454310799174,5464162638,186593245824
2017_Q3,1708005320174,60157003245,134953146057
2017_Q4,1854465695585,118598180772,239993715353
2017_E,6321560921969,116894786518,643193862964
2018_Q1,1908874317210,71968640041,160273440564
2018_Q2,2247955562862,152801918413,104677077983
2018_Q3,2522796294050,241542458635,214092435385
2018_Q4,2478646280823,248657589062,266006231515
2018_E,9158272454945,714970606151,745049185447
2019_Q1,2304063855366,118798090448,57896315369
2019_Q2,2404505708738,157297745543,160200994690
2019_Q3,2567937571530,165957224767,217371635030
2019_Q4,2820919028498,20123401511,-33102515520
2019_E,10097426164132,462176462269,402366429569
2020_Q1,2397530029531,53971595756,728532029
2020_Q2,2558614011125,103814071410,47696807401
2020_Q3,3087240977278,267351332365,240688533453
2020_Q4,3251385428101,246198358893,341852424643
2020_E,11294770446035,671335358424,630966297526
2021_Q1,2963210903981,133171965163,150012553591
2021_Q2,3334269868460,295201786329,288320819012
2021_Q3,3439792617779,373486648108,420424347477
2021_Q4,3815946858576,265715200897,391643840161
2021_E,13553220248796,1067575600497,1250401560241
2022_Q1,4049426948561,322298745961,362655891813
2022_Q2,4740773127096,429028021539,409232883211
2022_Q3,5367961148872,565880336828,638298117668
