,revenue,income,profit
2016_Q1,2163674198091,142805220795,113481493465
2016_Q2,2392209587383,293556243930,310161455249
2016_Q3,2385634582598,204738807258,202179352943
2016_Q4,2317314315882,138117818592,145121373891
2016_E,9258832683954,779218090575,770943675548
2017_Q1,2191346909673,196560294439,324199621309
2017_Q2,2485547887863,218776980821,249398717180
2017_Q3,2313039746972,215237924499,252077541549
2017_Q4,2351878681865,125835790758,8858299085
2017_E,9341813226373,756410990517,834534179123
2018_Q1,2076062609233,172061716559,292493574199
2018_Q2,2250539515777,184355936000,185058397374
2018_Q3,2311850145936,93786522921,-34726128254
2018_Q4,2407589633248,-95858427514,-282380853253
2018_E,9046041904194,354345747966,160444990066
2019_Q1,2236224792478,98343621152,119778121821
2019_Q2,2374146473238,97543621341,22975227646
2019_Q3,2441247985226,152459310605,111509751290
2019_Q4,2451666975503,29979114253,-503128099944
2019_E,9503286226445,378325667351,-248864999187
2020_Q1,2248354510049,159035104602,64049993259
2020_Q2,1956428008178,128496996319,147277861013
2020_Q3,2428432157957,233157467264,189676355074
2020_Q4,2561793452176,73493549891,-99281835177
2020_E,9195008128360,594183118076,301722374169
2021_Q1,2404299991017,254576179304,385170116552
2021_Q2,2777493464933,221133326338,222779489597
2021_Q3,2580336222064,178372121443,193441703302
2021_Q4,2963062706808,84266028207,-185063089055
2021_E,10725192384822,738347655292,616328220396
2022_Q1,2970334577502,157878855620,103097587011
2022_Q2,3389085195472,277752520418,244526101395
2022_Q3,3365677058627,348375231024,138575617256
