,revenue,income,profit
2016_Q1,2530057148284,6132842470,15930790048
2016_Q2,2720823615657,-283771038242,-212397797862
2016_Q3,2777818412404,84077685412,128605753776
2016_Q4,2385489463823,46360994792,-70915652399
2016_E,10414188640168,-147199515568,-138776906437
2017_Q1,2436973279878,27445010560,58652951309
2017_Q2,2299712688815,20619923772,22735177183
2017_Q3,1751906365670,23631579119,23428094927
2017_Q4,1412642820218,-595860307060,-445564520686
2017_E,7901235154581,-524163793609,-340748297267
2018_Q1,1240829943687,-47771587910,-59504191303
2018_Q2,1346584570241,-100571114102,-142700543845
2018_Q3,1313767428910,-127249980306,-80245942357
2018_Q4,1363937604403,-133659447351,-105738191193
2018_E,5265119547241,-409252129669,-388188868698
2019_Q1,1457458615957,-33336803345,-102630033552
2019_Q2,1770408499941,-56308179645,-309383443733
2019_Q3,1964640263739,-311984173516,-583206527771
2019_Q4,2157148655977,-214956366772,-320133142128
2019_E,7349656035614,-616585523278,-1315353147184
2020_Q1,1826635992012,-47836033220,-227021072058
2020_Q2,1691504813290,-707735115944,-704244734982
2020_Q3,1676819759948,-13435986333,-7351036702
2020_Q4,1665357077246,-285136887603,-554083057842
2020_E,6860317642496,-1054144023100,-1492699901584
2021_Q1,1574630475421,-506765297161,-535870155609
2021_Q2,1715463002783,-437903765649,-447383404457
2021_Q3,1485393333735,-110208012692,-123843673249
2021_Q4,1846514675387,-257079098520,-344972332403
2021_E,6622001487326,-1311956174022,-1452069565718
2022_Q1,1483845987668,-94908336386,-103885752718
2022_Q2,1426146296117,-255741895140,-39071806168
2022_Q3,1400129051864,-167918800731,-201617513504
