,revenue,income,profit
2016_Q1,1221362000000,-162995000000,-276132000000
2016_Q2,1016822000000,-254326000000,215996000000
2016_Q3,1078441000000,-230322000000,297051000000
2016_Q4,1268185000000,-185748000000,-695116000000
2016_E,4584810000000,-833391000000,-458201000000
2017_Q1,1302482000000,-131239000000,-734630000000
2017_Q2,1241955000000,-128080000000,-173724000000
2017_Q3,1295588000000,-29468000000,-60328000000
2017_Q4,1187991000000,-117993000000,-222058000000
2017_E,5028016000000,-406780000000,-1190740000000
2018_Q1,1111973000000,-170090000000,-175742000000
2018_Q2,1238839000000,-199775000000,-242738000000
2018_Q3,1425847000000,-123119000000,-166735000000
2018_Q4,1445465000000,-65672000000,-205348000000
2018_E,5222124000000,-558656000000,-790563000000
2019_Q1,1315928000000,-105665000000,-178458000000
2019_Q2,1396973000000,-112879000000,-200724000000
2019_Q3,1447716000000,-46606000000,-124232000000
2019_Q4,1352472000000,-34545000000,-86423000000
2019_E,5513089000000,-299695000000,-589837000000
2020_Q1,1313107000000,-2019000000,-65600000000
2020_Q2,1375147000000,138716000000,28144000000
2020_Q3,1718484000000,277069000000,24624000000
2020_Q4,2006532000000,567015000000,136798000000
2020_E,6413270000000,980781000000,123966000000
2021_Q1,2428039000000,1019289000000,154060000000
2021_Q2,2906707000000,1388943000000,210526000000
2021_Q3,4016361000000,2270761000000,2299828000000
2021_Q4,4443041000000,2698529000000,2672737000000
2021_E,13794148000000,7377522000000,5337151000000
2022_Q1,4918670000000,3148609000000,3131734000000
2022_Q2,5034034000000,2937080000000,2933069000000
2022_Q3,5106233000000,2601015000000,2605315000000
