,revenue,income,profit
2016_Q1,4228463000000,402127000000,572298000000
2016_Q2,4267289000000,407364000000,290990000000
2016_Q4,8596064000000,726253000000,796813000000
2016_E,17091816000000,1535744000000,1660101000000
2017_Q1,4234365000000,410502000000,583481000000
2017_Q2,4345593000000,423266000000,620511000000
2017_Q3,4442739000000,392410000000,792967000000
2017_Q4,4497316000000,310448000000,660636000000
2017_E,17520013000000,1536626000000,2657595000000
2018_Q1,4181537000000,325476000000,693372000000
2018_Q2,4154324000000,346894000000,914301000000
2018_Q3,4186392000000,304108000000,1049823000000
2018_Q4,4351707000000,225282000000,474492000000
2018_E,16873960000000,1201760000000,3131988000000
2019_Q1,4334906000000,322572000000,373631000000
2019_Q2,4437029000000,322830000000,259056000000
2019_Q3,4561213000000,302090000000,274425000000
2019_Q4,4410554000000,162488000000,-45170000000
2019_E,17743702000000,1109980000000,861942000000
2020_Q1,4450396000000,302036000000,306847000000
2020_Q2,4602813000000,359476000000,432154000000
2020_Q3,4730842000000,361539000000,395675000000
2020_Q4,4840600000000,326273000000,365862000000
2020_E,18624651000000,1349324000000,1500538000000
2021_Q1,4780461000000,388781000000,571975000000
2021_Q2,4818272000000,396597000000,795698000000
2021_Q3,4967496000000,399969000000,736510000000
2021_Q4,2182356000000,201815000000,314806000000
2021_E,16748585000000,1387162000000,2418989000000
2022_Q1,4277208000000,432393000000,220345000000
2022_Q2,4289857000000,459605000000,258147000000
2022_Q3,4343447000000,465571000000,245606000000
