,revenue,income,profit
2016_Q1,1745035889834,124506733090,136062592451
2016_Q2,2052090711282,168363847472,136228913461
2016_Q3,2001185217394,170592811957,110073685774
2016_Q4,2381875042329,163628902751,131962521380
2016_E,8180186860839,627092295270,514327713066
2017_Q1,2149520910716,146975190150,90665125916
2017_Q2,2374139966454,185787129396,143525147848
2017_Q3,2308922678718,192259228454,149054504666
2017_Q4,2466622574032,206537600609,158527498843
2017_E,9299206129920,731559148609,541772277273
2018_Q1,2356888755573,181763040904,131619877848
2018_Q2,2472235415940,237702362636,186847707987
2018_Q3,2423017946635,199587094060,142891476046
2018_Q4,2782076783330,258303315596,177433196532
2018_E,10034218901478,877355813196,638792258413
2019_Q1,2502458198025,198501390294,141005714760
2019_Q2,2776081029227,258742865582,193634287436
2019_Q3,2658395704779,206648415736,156906126068
2019_Q4,2782696872135,326196725476,258902829114
2019_E,10719631804166,990089397088,750448957378
2020_Q1,2436078896356,171212351238,-30286118117
2020_Q2,2566606362760,196721848207,145796797677
2020_Q3,2968199978215,219844149561,160951090648
2020_Q4,3046546288186,283839727204,176447181117
2020_E,11017431525517,871618076210,452908951325
2021_Q1,3061308383774,217093381629,158452775642
2021_Q2,3250875938369,224749285868,164760038787
2021_Q3,3381259142965,222002638306,199401313916
2021_Q4,3936558973816,144252465804,110767304767
2021_E,13630002438924,808097771607,633381433112
2022_Q1,4191498112057,273523158988,204421094974
2022_Q2,4595178210292,270001334188,272535965324
2022_Q3,4198077332988,185014983141,400729303184
