,revenue,income,profit
2016_Q1,1428134800740,104848311066,72320563093
2016_Q2,1490804025541,94986335415,63926286304
2016_Q3,1283057985286,106673324552,73606287422
2016_Q4,1501717765352,116040177251,93902729492
2016_E,5703714576919,422548148284,303755866311
2017_Q1,1449003564537,127155280830,74211737949
2017_Q2,1373275115938,102711828708,69306322829
2017_Q3,1338934113538,100710338323,76199098714
2017_Q4,1424460510377,137859239540,78686028742
2017_E,5585673304390,468436687401,298403188234
2018_Q1,1386923617709,95219747067,65604461424
2018_Q2,1518371115539,100814190763,72809594467
2018_Q3,1419806185581,81987384529,55394249067
2018_Q4,1612484176641,155754684861,89889114701
2018_E,5937585095470,433776007220,283697419659
2019_Q1,1429071553533,93465113292,56503841201
2019_Q2,1904079612683,112282295941,71083025893
2019_Q3,1859853161416,106953778049,75718193374
2019_Q4,1961148260949,171109249417,119308362049
2019_E,7154152588581,483810436699,322613422517
2020_Q1,1674843249568,59724689284,33226581077
2020_Q2,1195394796029,-57808622275,-60383794294
2020_Q3,1901408831374,119567686170,50907507328
2020_Q4,2101185699700,194316514338,89709230661
2020_E,6872832576671,315800267517,113459524772
2021_Q1,1869025977501,94038754193,60067027495
2021_Q2,1852067046490,100421767732,99653515649
2021_Q3,1704201113811,70576305341,52616049377
2021_Q4,1926129687862,60734472037,98388613188
2021_E,7351423825664,325771299303,310725205709
2022_Q1,1980180684702,30459466799,22273841952
2022_Q2,2106736630535,60071177266,14583471848
2022_Q3,2195554361421,61758703755,19061886201
