,revenue,income,profit
2016_Q1,1474111329583,26590638795,8321203287
2016_Q2,1880020846933,3552742790,2305510715
2016_Q3,1630949932441,53204545778,2083555932
2016_Q4,2025459543881,-12183961979,-2445125227
2016_E,7010541652838,71163965384,10265144707
2017_Q1,1618863602654,12393111532,-46943722770
2017_Q2,1356034200669,12374254751,31455069395
2017_Q3,1294203021799,15316847627,7025914150
2017_Q4,1244345810442,-18368232597,-62769748859
2017_E,5513446635564,21715981313,-71232488084
2018_Q1,1217512983511,21243190734,11845027861
2018_Q2,1348614660705,43857708194,17529533592
2018_Q3,1305790381807,84514378653,55289811685
2018_Q4,1595039777269,46781047089,-21808763181
2018_E,5466957803292,196396324670,62855609957
2019_Q1,1351814705711,119022105952,104029121611
2019_Q2,1625207369138,99995612287,73486720330
2019_Q3,1635624486174,99774717394,70868028895
2019_Q4,1779411892363,103925061034,75425983565
2019_E,6392058453386,422717496667,323809854401
2020_Q1,1592524663000,85491226224,69455151570
2020_Q2,1674252398437,85805148238,67445629723
2020_Q3,1603162938944,100065390098,59632658892
2020_Q4,1879234144742,89820907811,55602123105
2020_E,6749174145123,361182672371,252135563290
2021_Q1,1530779945765,107280241182,101503707689
2021_Q2,1695807659015,150277564867,93774154267
2021_Q3,1746611434736,138996215754,97942583425
2021_Q4,2513497081661,106734785544,57851020995
2021_E,7486696121177,503288807347,351071466376
2022_Q1,2163375066043,174392652928,113696303018
2022_Q2,2493399150749,153466844917,139612151375
2022_Q3,2457940151493,160537673658,162194886415
