,revenue,income,profit
2016_Q1,6487039669737,-434813695121,-516637165857
2016_Q2,7050746222154,176810636388,134583690712
2016_Q3,6621486522778,186749287751,144572202850
2016_Q4,7943411407949,210778362253,258323199208
2016_E,28102683822618,139524591271,20841926913
2017_Q1,6702301634004,136999225279,-1051665005751
2017_Q2,7319244801416,255449456951,111624296587
2017_Q3,7492644756187,220179406036,138993397711
2017_Q4,7764854326255,268640266580,1282151788993
2017_E,29279045517862,881268354846,481104477540
2018_Q1,7476321536258,209171274737,375914916333
2018_Q2,7927726817922,378125665629,332062269710
2018_Q3,7780481185162,273829246173,235691663675
2018_Q4,7971107347318,242763981708,804574693690
2018_E,31155636886660,1103890168247,1748243543408
2019_Q1,7357051960960,105154418271,222433884495
2019_Q2,7971964685339,220686692894,207428065993
2019_Q3,7734621290712,216276712962,264958888638
2019_Q4,7697863122028,324652247995,353069841561
2019_E,30761501059039,866770072122,1047890680687
2020_Q1,6960092987128,147047663833,346578169804
2020_Q2,7223349749291,238136240726,220737398156
2020_Q3,7850328070510,215506424209,323404987246
2020_Q4,8182348110060,256389484766,269930264747
2020_E,30216118916989,857079813534,1160650819953
2021_Q1,7839586453789,302581601206,886713172202
2021_Q2,8547623257813,425188104186,333849377311
2021_Q3,8303039620680,141012797007,375105366698
2021_Q4,9764932550422,327200234009,233416123756
2021_E,34455181882704,1195982736408,1829084039967
2022_Q1,10439688657498,541607110247,649187764372
2022_Q2,10818611721490,555922774455,632771194195
2022_Q3,11255613169636,796797034465,596838333540
