,revenue,income,profit
2016_Q1,2712795000000,170597000000,110073000000
2016_Q2,2879116000000,180138000000,130750000000
2016_Q3,2737014000000,211354000000,133949000000
2016_Q4,3122121000000,184394000000,117967000000
2016_E,11451046000000,746483000000,492739000000
2017_Q1,2881977000000,202828000000,132465000000
2017_Q2,3009663000000,208000000000,136248000000
2017_Q3,3059590000000,214134000000,142801000000
2017_Q4,3328152000000,201333000000,135604000000
2017_E,12279382000000,826295000000,547118000000
2018_Q1,2979933000000,187664000000,115506000000
2018_Q2,2980738000000,211071000000,137077000000
2018_Q3,2991852000000,228120000000,153755000000
2018_Q4,3172528000000,104090000000,75271000000
2018_E,12125051000000,730945000000,481609000000
2019_Q1,3020351000000,194628000000,132571000000
2019_Q2,3199604000000,148554000000,98498000000
2019_Q3,3244165000000,155912000000,104452000000
2019_Q4,2917849000000,187150000000,103310000000
2019_E,12381969000000,686244000000,438831000000
2020_Q1,3286649000000,219757000000,148770000000
2020_Q2,3272634000000,239709000000,150570000000
2020_Q3,3341028000000,251206000000,403403000000
2020_Q4,3517316000000,175479000000,-224678000000
2020_E,13417627000000,886151000000,478065000000
2021_Q1,3416754000000,275617000000,200890000000
2021_Q2,3345511000000,268420000000,210491000000
2021_Q3,3477428000000,276739000000,211050000000
2021_Q4,3611442000000,158238000000,101787000000
2021_E,13851135000000,979014000000,724218000000
2022_Q1,3409981000000,261246000000,170408000000
2022_Q2,3384255000000,248374000000,161956000000
2022_Q3,3501145000000,285067000000,170830000000
