,revenue,income,profit
2016_Q1,1091342580391,392964455798,284715826088
2016_Q2,1088096936552,345854599721,285592274156
2016_Q3,1220194674458,426333040119,249903802985
2016_Q4,1069221554760,303681810332,383530443571
2016_E,4468855746161,1468833905970,1203742346800
2017_Q1,1178747511091,395455574286,235160814005
2017_Q2,1161698514447,386457678487,274693550527
2017_Q3,1278874823566,421704340199,307971950639
2017_Q4,1047872633141,237439656935,393620260849
2017_E,4667193482245,1441057249907,1211446576020
2018_Q1,1067590374238,311368374802,249368781343
2018_Q2,1119719777068,322975966048,265141525011
2018_Q3,1182526283865,356861885415,257458979145
2018_Q4,1101679156889,262253143775,131389878907
2018_E,4471515592060,1253459370040,903359164406
2019_Q1,1184981696982,348164854767,273835113960
2019_Q2,1257840556101,399061509193,324463716669
2019_Q3,1322181453028,382465830073,322073930136
2019_Q4,1198198590891,249898383906,116825864190
2019_E,4963202297002,1379590577939,1037198624955
2020_Q1,1178410308223,315013651652,293875030365
2020_Q2,1318842182430,394730956629,293457762927
2020_Q3,1463411667167,434647946262,278078857534
2020_Q4,1340953496129,336658597714,306231448284
2020_E,5301617653949,1481051152257,1171643099110
2021_Q1,1263901253861,317681948454,272607800829
2021_Q2,1346452430096,330136877987,246396327529
2021_Q3,1568447860503,423900122350,359578306018
2021_Q4,1049550052076,266664530841,93176310280
2021_E,5228351596536,1338383479632,971758744656
2022_Q1,1402567495582,333006974084,263375646779
2022_Q2,1417499092398,327629159837,338845327822
2022_Q3,1624596549580,405611447604,463140138419
