,revenue,income,profit
2016_Q1,937280220152,256827536675,165036146535
2016_Q2,987281364295,272663961847,213223506226
2016_Q3,1013075223770,282298051525,198000157034
2016_Q4,1084992811765,290250925745,182813141392
2016_E,4022629619982,1102040475792,759072951187
2017_Q1,1082247281196,290797289304,210876050870
2017_Q2,1129631366847,285213522180,171420229303
2017_Q3,1200676275220,312084238444,215798264368
2017_Q4,1265914004769,291092756403,172007125666
2017_E,4678468928032,1179187806331,770101670207
2018_Q1,1309059864248,256980563870,153751654038
2018_Q2,1363615953332,250583189279,281758577701
2018_Q3,1397713834674,221718402565,68386763908
2018_Q4,1516514881101,213250405829,124004877685
2018_E,5586904533355,942532561543,627901873332
2019_Q1,1510861770282,206244504954,87585903290
2019_Q2,1630275004395,128334709480,27756852975
2019_Q3,1664815000078,202086039366,85268053088
2019_Q4,1787448290489,173404919713,196210253112
2019_E,6593400065244,710070173513,396821062465
2020_Q1,1732064462097,221495078328,134874581865
2020_Q2,1902467957491,230597573115,90682203810
2020_Q3,1360779374259,291726798004,235342965699
2020_Q4,308834106539,471523007826,384097225775
2020_E,5304145900386,1215342457273,844996977149
2021_Q1,1499070070645,288833148414,15314521708800
2021_Q2,1663549112320,335625461885,540551955631
2021_Q3,1727255234995,349772039459,322726218896
2021_Q4,1927725289290,351247521359,299825676318
2021_E,6817599707250,1325478171117,16477625559645
2022_Q1,1845221980257,301787213829,151398236654
2022_Q2,2045781381874,336151055118,158474411253
2022_Q3,2057332225258,330243307021,231554407593
