,revenue,income,profit
2016_Q1,710595000000,81201000000,75292000000
2016_Q2,801349000000,95012000000,68424000000
2016_Q3,801464000000,94093000000,46445000000
2016_Q4,632923000000,49786000000,74640000000
2016_E,2946331000000,320092000000,264801000000
2017_Q1,711822000000,97707000000,37088000000
2017_Q2,545121000000,-38271000000,-15182000000
2017_Q3,477240000000,-91305000000,-81340000000
2017_Q4,338066142312,-177004254329,-175751852776
2017_E,2072249142312,-208873254329,-235185852776
2018_Q1,641176128845,40973418472,31698411078
2018_Q2,839063304322,33286141742,27301994662
2018_Q3,439078326760,-375460967,-51496417709
2018_Q4,866705751472,72498420819,48035476077
2018_E,2786023511399,146382520066,55539464108
2019_Q1,630897916104,33404695805,42523403154
2019_Q2,805330462545,116633063771,92792819671
2019_Q3,567707635150,47798935653,36609978285
2019_Q4,1106221560864,77727732611,-3634034889
2019_E,3110157574663,275564427840,168292166221
2020_Q1,827694930721,66135263426,79470862793
2020_Q2,721139700286,61215606993,41760161616
2020_Q3,514600744945,22985840037,12379609186
2020_Q4,761700636872,-10812467095,-61296683714
2020_E,2825136012824,139524243361,72313949881
2021_Q1,611746466112,8399261028,11947314406
2021_Q2,708535433448,59989628872,53825715174
2021_Q3,445140642508,2825295512,6976918113
2021_Q4,796861133084,-12954748952,-19477419124
2021_E,2562283675152,58259436460,53272528569
2022_Q1,640671313704,39229989280,36750411477
2022_Q2,668470722475,34429712945,50182175265
2022_Q3,608949026858,30465888410,52160767837
