,revenue,income,profit
2016_Q1,1519380114480,233512997524,160551600962
2016_Q2,1553867955844,225393031460,159440857255
2016_Q3,1563483750774,244157523149,192137675933
2016_Q4,1457327585036,177873065389,67109687912
2016_E,6094059406134,880936617522,579239822062
2017_Q1,1600711950285,259956363587,180584797351
2017_Q2,1530110256588,232488172079,168332519644
2017_Q3,1608750692906,252722210010,187553417704
2017_Q4,1530890610001,185182240137,82078780190
2017_E,6270463509780,930348985813,618549514889
2018_Q1,1659222302372,283666683892,196400011233
2018_Q2,1652584483492,267252525508,187421839177
2018_Q3,1737237665409,277539279012,207172999001
2018_Q4,1698492350335,210791647225,101283856936
2018_E,6747536801608,1039250135637,692278706347
2019_Q1,1874773862117,322095588947,225752884405
2019_Q2,1832491623330,301496785222,211542517072
2019_Q3,1964865666596,311845360068,217065963166
2019_Q4,2013293078254,240973512667,133811727591
2019_E,7685424230297,1176411246904,788173092234
2020_Q1,1896362101237,333697007711,234218085283
2020_Q2,1783158799542,303282465396,204578102168
2020_Q3,2070568751390,327617005561,231690467652
2020_Q4,2094416404962,256268252643,142614484921
2020_E,7844506057131,1220864731311,813101140024
2021_Q1,2036668561220,370572880675,258820468071
2021_Q2,2021420940050,335770093031,226350644212
2021_Q3,2010336477334,342253601544,239545561805
2021_Q4,2023085319357,241033848355,136411177792
2021_E,8091511297961,1289630423605,861127851880
2022_Q1,1644975411116,175574250765,113751662954
2022_Q2,1862677109713,216585051530,125999185133
2022_Q3,1870345502917,190063223146,127383106685
