,revenue,income,profit
2016_Q1,4874092000000,457745000000,338125000000
2016_Q2,5219229000000,612453000000,375484000000
2016_Q3,5054278000000,459997000000,297428000000
2016_Q4,5511697000000,461725000000,269957000000
2016_E,20659296000000,1991920000000,1280994000000
2017_Q1,6486668000000,796908000000,548097000000
2017_Q2,6382062000000,726870000000,590322000000
2017_Q3,6397083000000,789698000000,545452000000
2017_Q4,6432201000000,614981000000,338102000000
2017_E,25698014000000,2928457000000,2021973000000
2018_Q1,6553590000000,650841000000,552744000000
2018_Q2,7051853000000,703291000000,493395000000
2018_Q3,7234858000000,602379000000,346600000000
2018_Q4,7342712000000,289559000000,126573000000
2018_E,28183013000000,2246070000000,1519312000000
2019_Q1,6639073000000,275367000000,211938000000
2019_Q2,7177444000000,267515000000,83823000000
2019_Q3,7347303000000,380274000000,137185000000
2019_Q4,7461222000000,-27508000000,-56842000000
2019_E,28625042000000,895648000000,376104000000
2020_Q1,7115729000000,236458000000,36347000000
2020_Q2,6935191000000,571642000000,419070000000
2020_Q3,7507281000000,902084000000,570387000000
2020_Q4,8518309000000,87975000000,-343396000000
2020_E,30076510000000,1798159000000,682408000000
2021_Q1,9650032000000,1408144000000,1370972000000
2021_Q2,11456142000000,2139808000000,1566269000000
2021_Q3,10610153000000,726605000000,679885000000
2021_Q4,10938395000000,750909000000,336778000000
2021_E,42654722000000,5025466000000,3953904000000
2022_Q1,11608071000000,1024260000000,769222000000
2022_Q2,12239911000000,878453000000,718315000000
2022_Q3,14177663000000,901186000000,713876000000
