,revenue,income,profit
2016_Q1,13362090000000,505163000000,198068000000
2016_Q2,14002942000000,584605000000,268511000000
2016_Q3,13224230000000,283232000000,-81522000000
2016_Q4,14777771000000,-35237000000,-258742000000
2016_E,55367033000000,1337763000000,126315000000
2017_Q1,14657194000000,921536000000,835691000000
2017_Q2,14551411000000,664061000000,514867000000
2017_Q3,15224140000000,516093000000,336139000000
2017_Q4,16963539000000,366859000000,182821000000
2017_E,61396284000000,2468549000000,1869518000000
2018_Q1,15123041000000,1107817000000,729871000000
2018_Q2,15019311000000,770969000000,326486000000
2018_Q3,15427050000000,748789000000,497108000000
2018_Q4,15772262000000,75716000000,-80651000000
2018_E,61341664000000,2703291000000,1472814000000
2019_Q1,14915064000000,900639000000,577965000000
2019_Q2,15629264000000,652237000000,106013000000
2019_Q3,15700645000000,781461000000,345700000000
2019_Q4,16061202000000,101802000000,-849730000000
2019_E,62306175000000,2436139000000,179948000000
2020_Q1,14727803000000,1090404000000,1086731000000
2020_Q2,12833827000000,495437000000,65550000000
2020_Q3,16919559000000,958981000000,649225000000
2020_Q4,18780857000000,650165000000,262284000000
2020_E,63262046000000,3194987000000,2063790000000
2021_Q1,18809481000000,1516646000000,1169145000000
2021_Q2,17113898000000,878146000000,-291965000000
2021_Q3,18786651000000,540699000000,516477000000
2021_Q4,20011599000000,928283000000,21315000000
2021_E,74721629000000,3863774000000,1414972000000
2022_Q1,21111389000000,1880482000000,1401001000000
2022_Q2,19464043000000,792254000000,338032000000
2022_Q3,21176765000000,746557000000,336431000000
