,revenue,income,profit
2016_Q1,108458518866,26983964618,11802293898
2016_Q2,185034818685,77102677768,59597356551
2016_Q3,168270996386,74002247404,58613294621
2016_Q4,208816627732,43154144272,19405715843
2016_E,670580961669,221243034062,149418660913
2017_Q1,196578133699,89393695091,67093736595
2017_Q2,246148187493,138329380801,115248323475
2017_Q3,232087939031,140106544632,113968465159
2017_Q4,274265704991,131755930063,81414555364
2017_E,949079965214,499585550587,377725080593
2018_Q1,244981297241,116465354321,83239210885
2018_Q2,263438799387,108220571119,82973481832
2018_Q3,231104119202,73624856477,54661186777
2018_Q4,242550743969,24820776448,16602481064
2018_E,982074959799,323131558365,237476360558
2019_Q1,221703639804,77355873875,63021445145
2019_Q2,234974551991,83361637592,78290987720
2019_Q3,289054863024,103149130013,61595204568
2019_Q4,382726823067,117665831095,98535056816
2019_E,1128459877886,381532472575,301442694249
2020_Q1,372847105071,120241411124,105292021638
2020_Q2,428799157639,181842188235,138607540999
2020_Q3,548771357386,245273750608,175820069105
2020_Q4,498697912015,171220009849,105983277878
2020_E,1849115532111,718577359816,525702909620
2021_Q1,456968796893,207656108157,197228894234
2021_Q2,431769036867,163209997320,129538275445
2021_Q3,400957192139,163975416165,140432600712
2021_Q4,621906237131,222015585584,128579668421
2021_E,1911601263030,756857107226,595779438812
2022_Q1,550598050145,142281190048,121240980132
2022_Q2,596065509726,198966519757,184025268774
2022_Q3,645637433850,213761066890,166871995003
