,revenue,income,profit
2016_Q1,3762847178583,192468439649,179289982841
2016_Q2,3838755011141,196215052468,102963452518
2016_Q3,3819234524130,183544913219,218810938546
2016_Q4,3919794978037,156562760912,4643095006
2016_E,15340631691891,728791166248,505707468911
2017_Q1,3977250888785,191761569268,246756923210
2017_Q2,4188899109674,181575256870,94765159686
2017_Q3,4225846926742,183033580542,124973455841
2017_Q4,3966292349840,170700091794,213958305078
2017_E,16358289275041,727070498474,680453843815
2018_Q1,3747917796596,150456304891,114751279763
2018_Q2,4231170940765,180599997616,34792961733
2018_Q3,4373022285108,187050126778,153906563027
2018_Q4,4513454640169,192033676381,133922569597
2018_E,16865565662638,710140105666,437373374120
2019_Q1,4220836401943,185265893646,106006244530
2019_Q2,4496116056058,202237762809,121535552136
2019_Q3,4750668069960,260567198887,45382743993
2019_Q4,4802429937657,228466723193,229398173010
2019_E,18270050465618,876537578535,502322713669
2020_Q1,4702905989700,194939173630,160486227492
2020_Q2,3269835606881,130615562988,115098401537
2020_Q3,3668074322296,161390699431,162246684427
2020_Q4,4879068714223,175205149587,168311363647
2020_E,16519884633100,662150585636,606142677103
2021_Q1,5064557836027,209283422522,129585581709
2021_Q2,5467230518875,276880251430,214317859090
2021_Q3,5404069980421,314979587870,183075460675
2021_Q4,5843723595680,325102443581,256196960766
2021_E,21779581931003,1126245705403,783175862240
2022_Q1,6293186735915,426309911779,291925941368
2022_Q2,6862939256130,448487424879,305030590317
2022_Q3,7014133621531,478061458654,236273480405
