,revenue,income,profit
2016_Q4,756437353905,182721605337,123502926972
2016_E,756437353905,182721605337,123502926972
2017_Q2,237501156760,53432846294,77543917833
2017_Q3,198049485664,40296697585,30714274484
2017_Q4,485949345074,71097976554,57425671289
2017_E,921499987498,164827520433,165683863606
2018_Q1,128366226311,8429673621,60505014233
2018_Q2,183752910465,15232191542,10981699330
2018_Q3,212670716403,20049106515,6382502867
2018_Q4,170292281997,-86291637877,-63094140554
2018_E,695082135176,-42580666199,14775075876
2019_Q1,220513341766,9366690852,5840457240
2019_Q2,284767061258,9254049877,8477851668
2019_Q3,282035832235,21325672401,10141683257
2019_Q4,313561731196,42846731708,40502007630
2019_E,1100877966455,82793144838,64961999795
2020_Q1,356901715187,55790084869,76192957052
2020_Q2,420283958152,86838802440,46425554323
2020_Q3,463416032729,127698038616,86095578965
2020_Q4,386995109212,91785128743,31692475159
2020_E,1627596815280,362112054668,240406565499
2021_Q1,356291703034,31479378528,31508602260
2021_Q2,433250699828,76160613067,63712940025
2021_Q3,409115849731,22014671226,40608802388
2021_Q4,605827967516,69782796264,16736796608
2021_E,1804486220109,199437459085,152567141281
2022_Q1,415696650322,45035321553,43586013111
2022_Q2,519005131548,74082852192,39116186907
2022_Q3,496400172823,72505148354,137627816692
