,revenue,income,profit
2016_Q1,3534022201000,232838212000,149403768000
2016_Q2,3609605475000,210594718000,71921048000
2016_Q3,3679038311000,243289576000,116688921000
2016_Q4,3740591259000,156915678000,15535013000
2016_E,14563257246000,843638184000,353548750000
2017_Q1,3866534180000,192480405000,91020464000
2017_Q2,3908894716000,164399873000,43148166000
2017_Q3,4410655290000,269305358000,263477180000
2017_Q4,4291089837000,150389605000,15151933000
2017_E,16477174023000,776575241000,412797743000
2018_Q1,4348588146000,210257123000,72149886000
2018_Q2,4453748788000,184606408000,783380630000
2018_Q3,4945574847000,265193996000,120764865000
2018_Q4,4922148208000,172652153000,-50906756000
2018_E,18670059989000,832709680000,925388625000
2019_Q1,5017753362000,179063297000,40940401000
2019_Q2,5515310216000,175299866000,39492700000
2019_Q3,5858111236000,272697683000,17079077000
2019_Q4,5961287482000,269797027000,93516125000
2019_E,22352462296000,896857873000,191028303000
2020_Q1,5830942047000,275935495000,451924437000
2020_Q2,5920879356000,384860000000,158017419000
2020_Q3,6342466685000,402139040000,189178038000
2020_Q4,6151437566000,296616905000,-12694356000
2020_E,24245725654000,1359551440000,786425538000
2021_Q1,6178109147000,385075351000,218761979000
2021_Q2,6309217799000,469572489000,261462166000
2021_Q3,6854085659000,433155309000,211221770000
2021_Q4,6947815162000,236626243000,200947298000
2021_E,26289227767000,1524429392000,892393213000
2022_Q1,6979894271000,435659992000,247869311000
2022_Q2,7516610595000,504290126000,252684299000
2022_Q3,8011935142000,484188689000,225804884000
