,revenue,income,profit
2016_Q1,3655717000000,561798000000,448026000000
2016_Q2,3940927000000,452853000000,286132000000
2016_Q3,4243645000000,725956000000,597751000000
2016_Q4,5357686000000,1536139000000,1628574000000
2016_E,17197975000000,3276746000000,2960483000000
2017_Q1,6289518000000,2467599000000,1898678000000
2017_Q2,6692278000000,3050700000000,2468509000000
2017_Q3,8100085000000,3737193000000,3055529000000
2017_Q4,9027553000000,4465834000000,3219503000000
2017_E,30109434000000,13721326000000,10642219000000
2018_Q1,8719691000000,4367338000000,3121329000000
2018_Q2,10370507000000,5573918000000,4328543000000
2018_Q3,11416788000000,6472420000000,4692193000000
2018_Q4,9938080000000,4430074000000,3397919000000
2018_E,40445066000000,20843750000000,15539984000000
2019_Q1,6772655000000,1366490000000,1102130000000
2019_Q2,6452201000000,637630000000,537025000000
2019_Q3,6838766000000,472561000000,495484000000
2019_Q4,6927111000000,236037000000,-118248000000
2019_E,26990733000000,2712718000000,2016391000000
2020_Q1,7198892000000,800301000000,649050000000
2020_Q2,8606534000000,1946715000000,1264260000000
2020_Q3,8128767000000,1299696000000,1077862000000
2020_Q4,7966225000000,965912000000,1767742000000
2020_E,31900418000000,5012624000000,4758914000000
2021_Q1,8494188000000,1324421000000,992640000000
2021_Q2,10321671000000,2694574000000,1988424000000
2021_Q3,11805324000000,4171821000000,3315252000000
2021_Q4,12376609000000,4219524000000,3319872000000
2021_E,42997792000000,12410340000000,9616188000000
2022_Q1,12155653000000,2859615000000,1982928000000
2022_Q2,13811001000000,4192617000000,2876821000000
2022_Q3,10982883000000,1655560000000,1102653000000
