,revenue,income,profit
2016_Q1,1604334231486,42908415396,36544159963
2016_Q2,1616385894780,15178761052,19430038788
2016_Q3,1467267537176,12803888275,3850803410
2016_Q4,1345052800533,-46491547789,-36910643445
2016_E,6033040463975,24399516934,22914358716
2017_Q1,1570464666142,25537393155,4375008368
2017_Q2,1709881338039,70672613907,37860938115
2017_Q3,1841139120914,103162686111,74523760522
2017_Q4,1716989008304,106830735389,60496287370
2017_E,6838474133399,306203428562,177255994375
2018_Q1,2018773532057,154006514214,115813060517
2018_Q2,1809771707112,206809852693,131341905223
2018_Q3,2366297374549,404953674605,246168425224
2018_Q4,1998180639276,252282758074,191695123238
2018_E,8193023252994,1018052799586,685018514202
2019_Q1,2130551645830,190285844605,133039892971
2019_Q2,1957747694174,145163987125,306745972117
2019_Q3,2272111153576,180167058543,109403724533
2019_Q4,1680407152207,218351952187,-21141038585
2019_E,8040817645787,733968842460,528048551036
2020_Q1,2224466256261,164558544871,133184216331
2020_Q2,1812210478049,95996813216,45692906990
2020_Q3,2287896946737,302475610548,239996465840
2020_Q4,1884164626964,266099709642,204937588680
2020_E,8208738308011,829130678277,623811177841
2021_Q1,2371948705221,331479373704,242726322558
2021_Q2,2475505307922,339335145310,234571251142
2021_Q3,2688699092652,457827365478,353467377887
2021_Q4,2138883021931,358230949312,84667501108
2021_E,9675036127726,1486872833804,915432452695
2022_Q1,2616765576038,410547735565,321851873315
2022_Q2,2455606770661,360088380500,282773009503
2022_Q3,2383749919890,310964982436,268211442996
