,revenue,income,profit
2016_Q1,10272794902000,325191543000,244531929000
2016_Q2,9862659425000,557189650000,392228850000
2016_Q3,8839172079000,321780170000,334434135000
2016_Q4,10345750886000,345483070000,-344204170000
2016_E,39320377292000,1549644433000,626990744000
2017_Q1,4807789820000,163457398000,462319572000
2017_Q2,4629216857000,151757443000,2615046142000
2017_Q3,3804374183000,93478545000,196988071000
2017_Q4,2227454650000,-394047756000,-581211853000
2017_E,15468835510000,14645630000,2693141932000
2018_Q1,3042532194000,-123795238000,25798938000
2018_Q2,3124413872000,-175701787000,-210347132000
2018_Q3,3241886979000,28901811000,-21647111000
2018_Q4,3711058168000,-251924799000,-247414936000
2018_E,13119891213000,-522520013000,-453610241000
2019_Q2,3922920781000,55494980000,201653392000
2019_Q3,3642733346000,30264184000,20345282000
2019_Q4,7616899039000,204408450000,-8917568000
2019_E,15182553166000,290167614000,213081106000
2020_Q4,14903657734000,74367134000,-835177677000
2020_E,14903657734000,74367134000,-835177677000
2021_Q4,15493381773000,-1384815777000,-1141204413000
2021_E,15493381773000,-1384815777000,-1141204413000
2022_Q1,3907727921000,-396395832000,-293160045000
2022_Q2,4188606445000,-265085002000,-105599535000
2022_Q3,4264415329000,188736283000,315831627000
