,revenue,income,profit
2016_Q1,1351933741068,187259258022,147040329464
2016_Q2,1409717114371,180164079862,137358531419
2016_Q3,1458966731359,162134214730,130637730428
2016_Q4,1626895524929,235127035263,179547751143
2016_E,5847513111727,764684587877,594584342454
2017_Q1,1573838851845,236320610547,169230671896
2017_Q2,1671717950233,248276474897,169975463726
2017_Q3,1616882719194,187338416658,148619368145
2017_Q4,1734231835585,222816862137,146205638931
2017_E,6596671356857,894752364239,634031142698
2018_Q1,1683434961978,200121410106,147422618109
2018_Q2,1787637047190,218057868429,152732065384
2018_Q3,1773482151676,195143803848,140947350571
2018_Q4,1638768978948,151395681327,93712904941
2018_E,6883323139792,764718763710,534814939005
2019_Q1,1496707238819,177477000160,153430767487
2019_Q2,1742742210639,242104773833,184493673384
2019_Q3,1731097007861,208814003994,159216471602
2019_Q4,1724264432383,176933058905,141472439346
2019_E,6694810889702,805328836892,638613351819
2020_Q1,1732587719026,204277869759,141935756812
2020_Q2,1622039523847,164008222184,110960802757
2020_Q3,1976168821214,267361646102,170386720324
2020_Q4,2251130794348,261740031158,151545390939
2020_E,7581926858435,897387769203,574828670832
2021_Q1,2200510784660,269990480591,212286799798
2021_Q2,2375446945511,273055170574,194671504006
2021_Q3,2414685450614,265791900880,200282497210
2021_Q4,2986133262851,287308791648,203865228130
2021_E,9976776443636,1096146343693,811106029144
2022_Q1,2661413405008,284714347004,147896833406
2022_Q2,2851263039267,381196012043,323210629810
2022_Q3,2744459217925,150650059589,70305066973
