,revenue,income,profit
2016_Q1,3428420000000,491804000000,433309000000
2016_Q2,4198364000000,640869000000,443563000000
2016_Q3,4137920000000,116200000000,171819000000
2016_Q4,4557139000000,368016000000,156673000000
2016_E,16321843000000,1616889000000,1205364000000
2017_Q1,5200155000000,333453000000,393910000000
2017_Q2,4665003000000,117267000000,66921000000
2017_Q3,5211848000000,553241000000,398721000000
2017_Q4,5814368000000,369304000000,386937000000
2017_E,20891374000000,1373265000000,1246489000000
2018_Q1,5410922000000,254540000000,188715000000
2018_Q2,6003110000000,402635000000,163224000000
2018_Q3,7187946000000,315741000000,229884000000
2018_Q4,6861317000000,-333456000000,-323788000000
2018_E,25463295000000,639460000000,258035000000
2019_Q1,5426156000000,270366000000,113591000000
2019_Q2,6257292000000,-90518000000,-147414000000
2019_Q3,6234486000000,230735000000,51587000000
2019_Q4,6476239000000,9494000000,47665000000
2019_E,24394173000000,420077000000,65429000000
2020_Q1,5198401000000,-1007259000000,-880642000000
2020_Q2,3451821000000,-164308000000,-66890000000
2020_Q3,3899185000000,-9251000000,30282000000
2020_Q4,4280274000000,81672000000,121142000000
2020_E,16829681000000,-1099146000000,-796108000000
2021_Q1,5344786000000,629215000000,344709000000
2021_Q2,6711021000000,571020000000,410737000000
2021_Q3,7117009000000,549417000000,334548000000
2021_Q4,8291102000000,391290000000,288547000000
2021_E,27463918000000,2140942000000,1378541000000
2022_Q1,9287044000000,1331959000000,870826000000
2022_Q2,11442405000000,1721985000000,1014238000000
2022_Q3,11122615000000,511662000000,-9593000000
