,revenue,income,profit
2016_Q1,1195035107884,404494420,-12118537479
2016_Q2,1120454393261,-33966559355,-31944758376
2016_Q3,1384461465568,20567927381,-37958892813
2016_Q4,2054614561856,117820135576,86975158188
2016_E,5754565528569,104825998022,4952969520
2017_Q1,1644733826456,66827924822,36566546159
2017_Q2,1339592181835,32527944662,17037699984
2017_Q3,1787244200595,55928066037,34807538531
2017_Q4,2869790315546,141207382100,86366640962
2017_E,7641360524432,296491317621,174778425636
2018_Q1,1720530000667,16825818377,-9698365047
2018_Q2,1517883578802,13396025493,15875584342
2018_Q3,2313182338066,129695202177,93678715343
2018_Q4,2430507725137,103600363544,63244094561
2018_E,7982103642672,263517409591,163100029199
2019_Q1,1368629571257,-11412579576,-32995325550
2019_Q2,1522325447022,18771937729,-5165267590
2019_Q3,2445946219550,186518638755,124991428793
2019_Q4,2965166992895,209251280924,15469635303
2019_E,8302068230724,403129277832,102300470956
2020_Q1,2010875217328,137960248037,80572279572
2020_Q2,1539868229120,42937787850,7591218021
2020_Q3,2229813802909,89415217473,26911125811
2020_Q4,3761232291190,410705755700,121053243604
2020_E,9541789540547,681019009060,236127867008
2021_Q1,3070252186444,346822941339,251412827679
2021_Q2,2354713040086,151931073582,147287376746
2021_Q3,3797588689494,335702166599,227103737414
2021_Q4,5723055303034,429767059361,262478494594
2021_E,14945609219058,1264223240881,888282436433
2022_Q1,3951735501281,367057056802,267521329730
2022_Q2,3702582613536,289912302998,206339626688
2022_Q3,5387374991647,444799269267,302068363472
