,revenue,income,profit
2016_Q1,2684498203965,473590130888,345725459386
2016_Q2,3441123375839,693943723991,460257499029
2016_Q3,3426554501145,643170363687,451424319277
2016_Q4,3671364792836,733549717519,579777641386
2016_E,13223540873785,2544253936085,1837184919078
2017_Q1,3995988092983,814825683296,641362453854
2017_Q2,3853342355931,632224619917,515463734580
2017_Q3,3990198665877,766172459253,631041674885
2017_Q4,4034981575119,716498195361,496709075042
2017_E,15874510689910,2929720957827,2284576938361
2018_Q1,4123245529544,662023531047,543184616845
2018_Q2,4330202774409,701320313800,579010499296
2018_Q3,4247603753899,503643452400,454323609138
2018_Q4,3843961818810,100412112199,65415412557
2018_E,16545013876662,1967399409446,1641934137836
2019_Q1,3721833105945,295685655090,223732611766
2019_Q2,4034609125467,346148787142,271272068504
2019_Q3,3940048260403,314592717201,214056000940
2019_Q4,3426987455840,150831749790,47605312676
2019_E,15123477947655,1107258909223,756665993886
2020_Q1,3275609855874,-85994144587,-90185949129
2020_Q2,2682205946721,32919692429,30651004509
2020_Q3,3045478667591,193801037432,147799303055
2020_Q4,3219737081072,216184695872,87083789901
2020_E,12223031551258,356911281146,175348148336
2021_Q1,4168347441536,623771359845,537899536941
2021_Q2,4352029229687,594041907113,500876119456
2021_Q3,4441887090716,288306151149,312849154419
2021_Q4,5158198660817,29521470787,73976857555
2021_E,18120462422756,1535640888894,1425601668371
2022_Q1,5586336084670,82634918836,116630310437
2022_Q2,5511012517424,-21422275255,36208780472
2022_Q3,5682874093091,-423854016068,-31067746405
