,revenue,income,profit
2016_Q1,9339501000000,718390000000,795202000000
2016_Q2,9854081000000,784744000000,848831000000
2016_Q3,8778062000000,721708000000,705836000000
2016_Q4,10290101000000,679850000000,697413000000
2016_E,38261745000000,2904692000000,3047282000000
2017_Q1,9267749000000,668695000000,761880000000
2017_Q2,8282355000000,492392000000,482186000000
2017_Q3,8772841000000,544427000000,482241000000
2017_Q4,8821635000000,319415000000,-168584000000
2017_E,35144580000000,2024929000000,1557723000000
2018_Q1,8194343000000,449846000000,465869000000
2018_Q2,8883539000000,531170000000,552858000000
2018_Q3,8427331000000,462248000000,449646000000
2018_Q4,9644006000000,581693000000,419833000000
2018_E,35149219000000,2024957000000,1888206000000
2019_Q1,8737841000000,493738000000,485788000000
2019_Q2,9462251000000,627250000000,644552000000
2019_Q3,9444949000000,603899000000,581856000000
2019_Q4,10403727000000,634370000000,582115000000
2019_E,38048768000000,2359257000000,2294311000000
2020_Q1,8423037000000,360898000000,348836000000
2020_Q2,7535472000000,168744000000,234700000000
2020_Q3,9991572000000,598337000000,391345000000
2020_Q4,10676423000000,702313000000,551969000000
2020_E,36626504000000,1830292000000,1526850000000
2021_Q1,9815802000000,490350000000,603333000000
2021_Q2,10285078000000,563568000000,669611000000
2021_Q3,9989890000000,457598000000,535544000000
2021_Q4,11611414000000,528596000000,553986000000
2021_E,41702184000000,2040112000000,2362474000000
2022_Q1,11308210000000,386873000000,520975000000
2022_Q2,12308052000000,403331000000,769731000000
2022_Q3,13180432000000,575958000000,559946000000
