,revenue,income,profit
2016_Q1,15685327000000,3605347000000,2162833000000
2016_Q2,13275424000000,2704494000000,1767788000000
2016_Q3,15943498000000,4424169000000,2938207000000
2016_Q4,15286135000000,1267589000000,279499000000
2016_E,60190384000000,12001599000000,7148327000000
2017_Q1,15146609000000,1463186000000,900031000000
2017_Q2,12925539000000,846492000000,358921000000
2017_Q3,16187727000000,2772921000000,1529235000000
2017_Q4,15554987000000,-129447000000,-1346793000000
2017_E,59814862000000,4953152000000,1441394000000
2018_Q1,15706044000000,-127613000000,-250467000000
2018_Q2,13337158000000,-687118000000,-918591000000
2018_Q3,16409844000000,1395215000000,737290000000
2018_Q4,15174564000000,-788485000000,-742730000000
2018_E,60627610000000,-208001000000,-1174498000000
2019_Q1,15248404000000,-629880000000,-761156000000
2019_Q2,13070974000000,-298659000000,-412178000000
2019_Q3,15912285000000,1239266000000,241081000000
2019_Q4,14941227000000,-1587248000000,-1331282000000
2019_E,59172890000000,-1276521000000,-2263535000000
2020_Q1,15093127000000,430554000000,53608000000
2020_Q2,13072533000000,389810000000,202852000000
2020_Q3,15711377000000,2332205000000,1251324000000
2020_Q4,14692277000000,933706000000,584685000000
2020_E,58569314000000,4086275000000,2092469000000
2021_Q1,15075300000000,571647000000,118416000000
2021_Q2,13518915000000,-764789000000,-673853000000
2021_Q3,16462219000000,-936691000000,-1025885000000
2021_Q4,15518385000000,-4730310000000,-3647903000000
2021_E,60574819000000,-5860143000000,-5229225000000
2022_Q1,16464070000000,-7786922000000,-5925924000000
2022_Q2,15528035000000,-6516348000000,-4835820000000
2022_Q3,19772958000000,-7530941000000,-5884213000000
