,revenue,income,profit
2016_Q1,5515041000000,385129000000,215142000000
2016_Q2,5677628000000,426952000000,255246000000
2016_Q4,11550996000000,627898000000,327456000000
2016_E,22743665000000,1439979000000,797844000000
2017_Q1,5611677000000,416991000000,224342000000
2017_Q2,5842474000000,447281000000,258078000000
2017_Q3,5826565000000,377271000000,202608000000
2017_Q4,6106551000000,133743000000,-123502000000
2017_E,23387267000000,1375286000000,561526000000
2018_Q1,5710201000000,397122000000,224092000000
2018_Q2,5806938000000,399149000000,280672000000
2018_Q3,5948481000000,369461000000,239463000000
2018_Q4,5994523000000,95790000000,18078000000
2018_E,23460143000000,1261522000000,762305000000
2019_Q1,5834377000000,402090000000,259770000000
2019_Q2,6098533000000,288256000000,203067000000
2019_Q3,6213675000000,312444000000,213282000000
2019_Q4,6195479000000,148275000000,-6772000000
2019_E,24342064000000,1151065000000,669347000000
2020_Q1,5831716000000,383078000000,226586000000
2020_Q2,5876503000000,341863000000,207575000000
2020_Q3,6001198000000,292336000000,230069000000
2020_Q4,6207250000000,166830000000,39162000000
2020_E,23916667000000,1184107000000,703392000000
2021_Q1,6029426000000,444155000000,326475000000
2021_Q2,6027612000000,475880000000,370788000000
2021_Q3,6217382000000,382396000000,337746000000
2021_Q4,6623585000000,369393000000,424386000000
2021_E,24898005000000,1671824000000,1459395000000
2022_Q1,6277700000000,626619000000,455395000000
2022_Q2,6312152000000,459171000000,363360000000
2022_Q3,6477201000000,452882000000,326200000000
