,revenue,income,profit
2016_Q1,3308468311881,227615545637,89760685014
2016_Q2,3598417352126,262371167274,130736497648
2016_Q3,3059197389839,154444081572,74286369410
2016_Q4,3926597458337,146742027720,-510308338019
2016_E,13892680512183,791172822203,-215524785947
2017_Q1,3437909664631,236838904814,37460809111
2017_Q2,3824640046365,305943162601,-26127758674
2017_Q3,3482596514870,196030959158,-9994883341
2017_Q4,3778408249957,186926083534,-111026177858
2017_E,14523554475823,925739110107,-109688010762
2018_Q1,3573712129359,305334471343,23148793444
2018_Q2,3833352482752,361536319070,52269967492
2018_Q3,3387502880252,211668826236,45923793517
2018_Q4,3966496663030,123157370553,-543067666038
2018_E,14761064155393,1001696987202,-421725111585
2019_Q1,3828732949613,322331121993,52825845278
2019_Q2,3977644842690,385310270400,187474948162
2019_Q3,3567393413411,138902950810,-72378746581
2019_Q4,4285902935607,230342466750,-272289198265
2019_E,15659674141321,1076886809953,-104367151406
2020_Q1,3837035949494,56486304857,-371434989535
2020_Q2,3604748415449,-50310502346,-251681799928
2020_Q3,3658815321766,171714267548,-80690180355
2020_Q4,4031807008916,-23798869825,-134638803028
2020_E,15132406695625,154091200234,-838445772846
2021_Q1,4004663524011,372097140084,248054318844
2021_Q2,2900623250197,254629474103,202027801605
2021_Q3,3460704073837,243107842234,112594180344
2021_Q4,917619760948,8048337680,83144845837
2021_E,11283610608993,877882794101,645821146630
2022_Q1,3071285050573,192139935007,11007643314
2022_Q2,3834655752129,328336556170,-124536066568
2022_Q3,3960324122229,314569098900,144521402375
