,revenue,income,profit
2016_Q1,5989201000000,39521000000,1187000000
2016_Q2,5855142000000,44391000000,-83916000000
2016_Q3,6723775000000,323163000000,189554000000
2016_Q4,7935956000000,904341000000,824683000000
2016_E,26504074000000,1311416000000,931508000000
2017_Q1,7062162000000,1026877000000,679497000000
2017_Q2,6628886000000,804272000000,736668000000
2017_Q3,6973095000000,585993000000,477244000000
2017_Q4,7126073000000,44476000000,43643000000
2017_E,27790216000000,2461618000000,1937052000000
2018_Q1,5675164000000,-98323000000,-48982000000
2018_Q2,5611248000000,-228108000000,-300543000000
2018_Q3,6102363000000,140071000000,17508000000
2018_Q4,6947796000000,279251000000,152574000000
2018_E,24336571000000,92891000000,-179443000000
2019_Q1,5878781000000,-132018000000,-62640000000
2019_Q2,5353410000000,-368744000000,-550180000000
2019_Q3,5821681000000,-436738000000,-442204000000
2019_Q4,6421695000000,-421882000000,-1817054000000
2019_E,23475567000000,-1359382000000,-2872078000000
2020_Q1,4724249000000,-361919000000,-198897000000
2020_Q2,5307021000000,-517023000000,-503830000000
2020_Q3,6737646000000,164360000000,11121000000
2020_Q4,7461208000000,685465000000,620970000000
2020_E,24230124000000,-29117000000,-70636000000
2021_Q1,6882761000000,523029000000,265811000000
2021_Q2,6965570000000,701060000000,423834000000
2021_Q3,7223196000000,528900000000,463470000000
2021_Q4,8806516000000,477619000000,180429000000
2021_E,29878043000000,2230608000000,1333544000000
2022_Q1,6471480000000,38346000000,54278000000
2022_Q2,5607318000000,-488345000000,-382031000000
2022_Q3,6771355000000,-759306000000,-774031000000
