,revenue,income,profit
2016_Q1,20673961000000,1512878000000,1062677000000
2016_Q2,21129307000000,1684895000000,936253000000
2016_Q4,41814226000000,2100406000000,823554000000
2016_E,83617494000000,5298179000000,2822484000000
2017_Q1,23062519000000,1707033000000,1615368000000
2017_Q2,21967793000000,1101944000000,1121991000000
2017_Q3,23763435000000,1619030000000,1420981000000
2017_Q4,24502621000000,1433032000000,908142000000
2017_E,93296368000000,5861039000000,5066482000000
2018_Q1,24615108000000,1581424000000,1555342000000
2018_Q2,25232114000000,1633847000000,1584929000000
2018_Q3,26776271000000,1466168000000,1624832000000
2018_Q4,24878527000000,6678000000,1386038000000
2018_E,101502020000000,4688117000000,6151141000000
2019_Q1,25549309000000,1285421000000,981457000000
2019_Q2,25147551000000,1164833000000,484909000000
2019_Q3,24957941000000,1004882000000,861165000000
2019_Q4,23609773000000,494728000000,-720282000000
2019_E,99264574000000,3949864000000,1607249000000
2020_Q1,23726137000000,-922718000000,-832383000000
2020_Q2,18780904000000,189004000000,117583000000
2020_Q3,20003901000000,452474000000,926753000000
2020_Q4,19309197000000,116769000000,-320385000000
2020_E,81820139000000,-164471000000,-108432000000
2021_Q1,22249844000000,1544691000000,579674000000
2021_Q2,23445731000000,1214992000000,1552133000000
2021_Q3,25563175000000,1557121000000,991362000000
2021_Q4,27066266000000,618735000000,2595255000000
2021_E,98325016000000,4935539000000,5718424000000
2022_Q1,30764058000000,3052983000000,3001204000000
2022_Q2,33327335000000,3578138000000,2366840000000
2022_Q3,36583470000000,1898819000000,782953000000
