,revenue,income,profit
2016_Q1,436574022144,177874934338,142806287573
2016_Q2,411816553670,160259181634,123683481336
2016_Q3,438114760906,161651823369,124337998682
2016_Q4,410027174137,118830348559,63705891297
2016_E,1696532510857,618616287900,454533658888
2017_Q1,422970649918,162405071081,129782002505
2017_Q2,386991092024,135450575556,110426003396
2017_Q3,395068781103,137640766214,119007002712
2017_Q4,399439531611,95400921298,78325498095
2017_E,1604470054656,530897334149,437540506708
2018_Q1,378410496772,126002299880,90446318468
2018_Q2,338701947612,114997711659,94555197910
2018_Q3,369078541051,123928790692,93267753751
2018_Q4,351868313535,65771188321,18967611290
2018_E,1438059298970,430699990552,297236881419
2019_Q1,377447644232,125095715166,102444783236
2019_Q2,364262885076,172772059785,50943107710
2019_Q3,405532407096,139212793770,128645331593
2019_Q4,372837512399,64072583478,52620669946
2019_E,1520080448803,501153152199,334653892485
2020_Q1,236006484748,-186773908255,-156116590281
2020_Q2,34632817180,-103812198165,-45560110283
2020_Q3,76617361862,-64878088082,-40856773400
2020_Q4,131322202551,-76119679081,-33345630448
2020_E,478578866341,-431583873583,-275879104412
2021_Q1,97434543660,-59617839359,-40899772290
2021_Q2,203614782942,2701682590,20907619786
2021_Q3,245246238937,24270666788,20414372455
2021_Q4,242137264386,-20049795803,-11004306221
2021_E,788432829925,-52695285784,-10582086270
2022_Q1,226850860538,10529008096,-5845906749
2022_Q2,311520185082,69946649680,37547414910
2022_Q3,397573066661,118716039315,74695916568
