,revenue,income,profit
2016_Q1,240847859213,75785169374,66243318761
2016_Q2,240526350427,86147945502,90437397760
2016_Q3,217558575324,65113170595,47897080627
2016_Q4,284624088701,101716176694,66804074942
2016_E,983556873665,328762462165,271381872090
2017_Q1,239502784411,30438014468,17393881300
2017_Q2,258623464390,37566187075,30828187131
2017_Q3,727265116166,327791548794,275055788299
2017_Q4,533330356754,189223211385,120765255166
2017_E,1758721721721,585018961722,444043111896
2018_Q1,475168605138,203837578795,119165079393
2018_Q2,436460954837,159510711463,140241480617
2018_Q3,403830568670,139008396053,94427809809
2018_Q4,399655379591,112572626062,67633280891
2018_E,1715115508236,614929312373,421467650710
2019_Q1,358756454047,79514420675,74696795035
2019_Q2,410785573976,129406577556,116857133461
2019_Q3,397809499859,128913292933,113604195249
2019_Q4,533833894701,141158127629,53996598763
2019_E,1701185422583,478992418793,359154722508
2020_Q1,731110934868,241424012436,195440675961
2020_Q2,538566937948,208984006337,158386288809
2020_Q3,585170069447,217671018580,152525341611
2020_Q4,561336269623,156714668341,80260292949
2020_E,2416184211886,824793705694,586612599330
2021_Q1,512483914094,56732864604,80153773559
2021_Q2,538542120136,112768676206,94343433365
2021_Q3,500629556772,96251019106,99495452327
2021_Q4,757161817863,109460611133,121741956888
2021_E,2308817408865,375213171049,395734616139
2022_Q1,790334124112,244185797309,168283087495
2022_Q2,629278019502,122966471692,118727916914
2022_Q3,604232460578,144422046019,182076798788
