,revenue,income,profit
2016_Q1,48856869893,-1268716964,-1768776801
2016_Q2,58155241864,3460661866,2013732639
2016_Q3,70340487145,5071418484,1369782848
2016_Q4,72379440229,6599336220,3609874315
2016_E,249732039131,13862699606,5224613001
2017_Q1,68238454170,4298817532,4026932223
2017_Q2,100277438066,7519048644,4543641750
2017_Q3,115763350070,10442361304,7682084480
2017_Q4,118740673483,7110930239,4386525788
2017_E,403019915789,29371157719,20639184241
2018_Q1,122292565967,8083625791,5852711260
2018_Q2,134300871020,9935209508,6738890195
2018_Q3,130004047733,7342530483,5916846722
2018_Q4,119066820733,1659303289,1375222342
2018_E,505664305453,27020669071,19883670519
2019_Q1,87719971518,-1515001282,-1903922490
2019_Q2,69197638051,-3533928550,-2119036725
2019_Q3,71388815530,-1854571239,-2000188728
2019_Q4,84957809573,-759075731,-2786082108
2019_E,313264234672,-7662576802,-8809230051
2020_Q1,102045471347,1495046814,2758537713
2020_Q2,69058638912,2564325241,597881918
2020_Q3,84245947166,-1324521110,-3508898683
2020_Q4,100755898629,-1264845890,-14865651091
2020_E,356105956054,1470005055,-15018130143
2021_Q1,144487049375,-3268101356,-3629346208
2021_Q2,205439794379,5747388307,-3746812338
2021_Q3,240718237527,13519140740,-11592480653
2021_Q4,380115793201,28253785454,-93294532819
2021_E,970760874482,44252213145,-112263172018
2022_Q1,553588700000,53046644000,71256773000
2022_Q2,862793690000,61335049000,65577388000
2022_Q3,1242500705000,98651501000,90748486000
