,revenue,income,profit
2016_Q1,1485058189224,337791941794,262986497515
2016_Q2,1443429626774,240594976864,192632332611
2016_Q3,1400920749941,167499536364,117090907187
2016_Q4,1316031594760,102216999077,73018922231
2016_E,5645440160699,848103454099,645728659544
2017_Q1,1569047640326,316832275130,223510754150
2017_Q2,1204953447381,101554319636,77354842166
2017_Q3,1209862361641,101076792248,79786816480
2017_Q4,1139962432756,76935749894,17350599644
2017_E,5123825882104,596399136908,398003012440
2018_Q1,1431593092605,235935733827,176702102599
2018_Q2,1343679091044,145778081103,109624588343
2018_Q3,1278422479795,76486727802,48051382606
2018_Q4,1224149898364,23780285207,466490418
2018_E,5277844561808,481980827939,334844563966
2019_Q1,1451329780083,186626586218,122201405671
2019_Q2,1393134632330,87772643732,57120991199
2019_Q3,1402002246177,107520372047,102320947109
2019_Q4,1333675533929,45914994507,-57882316213
2019_E,5580142192519,427834596504,223761027766
2020_Q1,1130856907044,60941709014,66966740618
2020_Q2,1055734889825,35231690349,6739465134
2020_Q3,1088641056331,56044111068,7047185090
2020_Q4,1156946186194,-9208391124,-58884379153
2020_E,4432179039394,143009119307,21869011689
2021_Q1,1252783827950,176244375570,137646826327
2021_Q2,1176655740224,91219161378,59198666657
2021_Q3,1108940816390,50339588177,38452479523
2021_Q4,1324748112135,25554683925,-54440278530
2021_E,4863128496699,343357809050,180857693977
2022_Q1,1165030308901,157996348108,120084490895
2022_Q2,945722009548,-19524592214,-37216079729
2022_Q3,936411432151,18804243476,21807350707
