,revenue,income,profit
2016_Q1,9458197490000,844795205000,566298670000
2016_Q2,10280211102000,1119516478000,625800638000
2016_Q3,9703004091000,414875537000,371821894000
2016_Q4,10079126064000,849149952000,157513087000
2016_E,39520538747000,3228337172000,1721434289000
2017_Q1,11387072318000,1004272828000,859945481000
2017_Q2,10561052390000,421180448000,292113280000
2017_Q3,11758865492000,963605802000,696304609000
2017_Q4,12553941850000,845310678000,296738358000
2017_E,46260932050000,3234369756000,2145101728000
2018_Q1,12166106137000,711582500000,472725978000
2019_Q4,49876534172000,1269292250000,65774590000
2019_E,49876534172000,1269292250000,65774590000
2020_Q1,11162996354000,-1775186072000,-1552157818000
2020_Q2,7199583090000,-439741786000,-345831322000
2020_Q3,8419203319000,-28937188000,-16125629000
2022_Q1,16261507571000,1649074738000,863299294000
2022_Q2,19905310018000,2329202035000,1338474861000
2022_Q3,22753359952000,703959490000,175161747000
