,revenue,income,profit
2020_Q1,207197182334,62573874518,36653025843
2020_Q2,307691125961,81102342341,52018676934
2020_Q3,274582011290,56534306115,56081371017
2020_Q4,375306554056,92576031108,96221726169
2020_E,1164776873641,292786554082,240974799963
2021_Q1,260797315576,74295866136,60975536258
2021_Q2,412162733679,166760141076,121522458905
2021_Q3,450733193140,167410670436,131773534678
2021_Q4,444313685644,128842730424,79317937814
2021_E,1568006928039,537309408072,393589467655
2022_Q1,511303826776,176416807153,146942732022
2022_Q2,651423185272,169673461068,152040268757
2022_Q3,873041212601,324740504508,129164030535
