,revenue,income,profit
2020_Q1,167679755808,8819895573,8409125418
2020_Q2,189943286226,13889238463,13991023309
2020_Q3,250204137867,17657601356,13651433168
2020_Q4,246921663975,14402546095,10606729927
2020_E,854748843876,54769281487,46658311822
2021_Q1,263201076387,17832298617,13824639952
2021_Q2,310435570465,29044774974,21529340199
2021_Q3,408052426460,40687351673,31803499595
2021_Q4,503939550514,27466823236,30632309018
2021_E,1485628623826,115031248500,97789788764
2022_Q1,662461915161,41062294987,30411457961
2022_Q2,1187144379130,102892913719,77776647922
2022_Q3,1563207394715,141462485421,109627566381
