,revenue,income,profit
2017_Q2,4197496960000,251111493000,395087601000
2017_Q3,4415801526000,552175364000,863387942000
2017_Q4,5686213227000,39751560000,-245442294000
2017_E,14299511713000,843038417000,1013033249000
2018_Q1,6290742656000,327970268000,235994615000
2018_Q2,6935388512000,341292517000,173741161000
2018_Q3,6602406401000,356065151000,239459545000
2018_Q4,7428112368000,-163900598000,-365209973000
2018_E,27256649937000,861427338000,283985348000
2019_Q1,6491453606000,144453870000,97636604000
2019_Q2,6823766061000,201990035000,54130076000
2019_Q3,6530009369000,219537589000,66172257000
2019_Q4,6785104316000,100612351000,-102591557000
2019_E,26630333352000,666593845000,115347380000
2020_Q1,5716315071000,-487234067000,-360372001000
2020_Q2,4005775028000,104327122000,-12957424000
2020_Q3,4577933583000,101067720000,34663503000
2020_Q4,4610957837000,-315269611000,-451053603000
2020_E,18910981519000,-597108836000,-789719525000
2021_Q1,6075482391000,534297902000,294425360000
2021_Q2,6330311036000,184626449000,21816277000
2021_Q3,7277543528000,301745573000,59344790000
2021_Q4,8475409444000,64741652000,-189574163000
2021_E,28158746399000,1085411576000,186012264000
2022_Q1,11296643300000,805027774000,550102335000
2022_Q2,15753952953000,1235840961000,957449445000
2022_Q3,17287236095000,1071591060000,688642873000
