,revenue,income,profit
2017_Q2,144144027169,8440725854,5281833063
2017_Q3,522116628509,78697929582,60715997377
2017_Q4,450959903606,20287957329,10682441741
2017_E,1117220559284,107426612765,76680272181
2018_Q1,516267257379,93616874507,67518835605
2018_Q2,423757925146,39589488307,27643081920
2018_Q3,493749252411,78670976816,33061073486
2018_Q4,493173453890,70297689300,14803328841
2018_E,1926947888826,282175028930,143026319852
2019_Q1,497609620095,77301690643,52857564290
2019_Q2,439305438858,50393223841,36833885472
2019_Q3,529967014578,101765055589,69664721501
2019_Q4,556413983721,98128775284,61111736301
2019_E,2023296057252,327588745357,220467907564
2020_Q1,539802072939,97028722128,74974460624
2020_Q2,515101894318,86188564129,65680476538
2020_Q3,597364534916,107834010166,77013697090
2020_Q4,577551431460,85070716373,56893640126
2020_E,2229819933633,376122012796,274562274378
2021_Q1,602021448097,101940050036,71694402119
2021_Q2,501729853185,55063022140,39498533395
2021_Q3,625273800971,114166269979,76943444709
2021_Q4,626474603278,101740565247,75525440456
2021_E,2355499705531,372909907402,263661820679
2022_Q1,653163171117,108584471691,77241842902
2022_Q2,627376828370,89715039525,70866284684
2022_Q3,741134199491,121680781385,86709100896
