,revenue,income,profit
2020_Q2,2065418146,-57836008796,-59629757253
2020_Q3,3923048212,-63035720314,-63074101009
2020_Q4,20010560364,-118627094675,-124709755592
2020_E,25999026722,-239498823785,-247413613854
2021_Q1,139988770066,75931761968,128990644026
2021_Q2,23969366643,-65081345358,-66997729173
2021_Q3,23950607810,-49937834222,-44274172476
2021_Q4,230735784603,134045617852,47126897945
2021_E,418644529122,94958200240,64845640322
2022_Q1,41144858536,-37137880493,-35205564981
2022_Q2,53432883418,-40072055312,-45403381708
2022_Q3,88834337597,-9247433664,-14962515189
