,revenue,income,profit
2020_Q4,8312009823000,32509061000,-431445898000
2020_E,8312009823000,32509061000,-431445898000
2021_Q1,1988211707000,28380546000,6007676000
2021_Q2,1946710998000,-422676930000,-351488867000
2021_Q3,1900486492000,74730341000,51366751000
2021_Q4,2475866727000,-480696734000,-520113522000
2021_E,8311275924000,-800262777000,-814227962000
2022_Q1,2001636464000,-217418588000,-175910118000
2022_Q2,2166032390000,-108251754000,-64729016000
2022_Q3,2203563727000,14340140000,50383254000
