,revenue,income,profit
2020_Q4,1461068000000,-475206000000,-451771000000
2020_E,1461068000000,-475206000000,-451771000000
2021_Q1,4254116000000,341219000000,433578000000
2021_Q2,5131016000000,724280000000,630315000000
2021_Q3,4027414000000,-372762000000,-205836000000
2021_Q4,4439360000000,75733000000,71811000000
2021_E,17851906000000,768470000000,929868000000
2022_Q1,4342348000000,258854000000,226622000000
2022_Q2,5070561000000,195608000000,89926000000
2022_Q3,7648157000000,521853000000,187710000000
